Calender Y-S,Model Y-S,SSB (mt),SSB SD,Age1+ (mt),Age1+ SD,Recruits (Billions),Recruits SD,RecDev,RecDev SD
1965-2,1965-1,NA,NA,439604,167245,9.26,5.73,-0.99,0.53
1966-1,1965-2,554593,147266,NA,NA,NA,NA,NA,NA
1966-2,1966-1,NA,NA,635755,144555,51.82,17.6,0.82,0.18
1967-1,1966-2,384336,93824.5,NA,NA,NA,NA,NA,NA
1967-2,1967-1,NA,NA,401860,101218,46.19,15.9,0.58,0.2
1968-1,1967-2,673735,171357,NA,NA,NA,NA,NA,NA
1968-2,1968-1,NA,NA,606594,148392,78.2,27.12,1.09,0.18
1969-1,1968-2,705391,173679,NA,NA,NA,NA,NA,NA
1969-2,1969-1,NA,NA,746988,180287,187.23,62.93,1.92,0.15
1970-1,1969-2,972480,245814,NA,NA,NA,NA,NA,NA
1970-2,1970-1,NA,NA,1081290,271484,97.85,35.58,1.2,0.18
1971-1,1970-2,1985280,511836,NA,NA,NA,NA,NA,NA
1971-2,1971-1,NA,NA,1950680,474371,130.06,46.71,1.49,0.17
1972-1,1971-2,1774980,397983,NA,NA,NA,NA,NA,NA
1972-2,1972-1,NA,NA,1421710,297253,68.26,25.2,0.83,0.2
1973-1,1972-2,2197120,468059,NA,NA,NA,NA,NA,NA
1973-2,1973-1,NA,NA,2160690,419874,15.57,7.06,-0.63,0.32
1974-1,1973-2,1698820,307835,NA,NA,NA,NA,NA,NA
1974-2,1974-1,NA,NA,1635880,285867,14.06,4.24,-0.71,0.23
1975-1,1974-2,1354170,197737,NA,NA,NA,NA,NA,NA
1975-2,1975-1,NA,NA,1082320,148383,51.24,13.22,0.67,0.15
1976-1,1975-2,723761,80073.1,NA,NA,NA,NA,NA,NA
1976-2,1976-1,NA,NA,512665,51308.8,12.59,4.78,-0.7,0.36
1977-1,1976-2,602557,87863.4,NA,NA,NA,NA,NA,NA
1977-2,1977-1,NA,NA,682877,104014,118.11,24.72,1.68,0.13
1978-1,1977-2,340342,58745.9,NA,NA,NA,NA,NA,NA
1978-2,1978-1,NA,NA,318042,56107.7,78.49,16.53,1.05,0.16
1979-1,1978-2,975725,162527,NA,NA,NA,NA,NA,NA
1979-2,1979-1,NA,NA,911558,138039,65.52,11.61,0.88,0.16
1980-1,1979-2,887648,112873,NA,NA,NA,NA,NA,NA
1980-2,1980-1,NA,NA,989187,101646,14.81,3.79,-0.6,0.25
1981-1,1980-2,842110,85454.2,NA,NA,NA,NA,NA,NA
1981-2,1981-1,NA,NA,767401,64962.2,34.57,7.96,0.38,0.23
1982-1,1981-2,428767,51046.1,NA,NA,NA,NA,NA,NA
1982-2,1982-1,NA,NA,335037,42528.9,114.94,35.39,1.92,0.24
1983-1,1982-2,169712,31950.8,NA,NA,NA,NA,NA,NA
1983-2,1983-1,NA,NA,241464,56412.9,30.39,10.21,0.24,0.28
1984-1,1983-2,459581,124762,NA,NA,NA,NA,NA,NA
